from_stop_id,to_stop_id,transfer_type
1363,4,0
1406,4,0
1286,4,0
1285,4,0
1262,4,0
1261,4,0
1238,4,0
1200,4,0
1570,4,0
1170,4,0
1147,4,0
196,4,0
322,4,0
1255,8,0
1292,8,0
447,8,0
409,8,0
1296,11,0
1251,11,0
1133,13,0
1184,13,0
1184,14,0
1133,14,0
1133,15,0
1184,15,0
1186,22,0
1131,22,0
1131,23,0
1186,23,0
1184,35,0
1133,35,0
1133,36,0
1184,36,0
1185,37,0
1132,37,0
1251,38,0
1296,38,0
1292,41,0
1255,41,0
409,41,0
447,41,0
1131,45,0
1186,45,0
795,49,0
811,49,0
117,49,0
807,50,0
794,50,0
1183,50,0
1134,50,0
1134,54,0
1183,54,0
794,54,0
807,54,0
807,55,0
794,55,0
1183,55,0
1134,55,0
795,56,0
811,56,0
87,56,0
1433,66,0
1434,66,0
1435,66,0
1439,66,0
107,66,0
106,66,0
1676,66,0
1677,66,0
1677,67,0
1676,67,0
106,67,0
105,67,0
306,67,0
408,67,0
1439,67,0
1435,67,0
1434,67,0
1433,67,0
408,68,0
526,68,0
494,68,0
306,68,0
105,68,0
106,68,0
308,69,0
518,69,0
519,69,0
518,70,0
309,70,0
334,70,0
335,70,0
335,71,0
334,71,0
102,71,0
103,71,0
1237,71,0
1201,71,0
1735,73,0
1734,74,0
1142,74,0
1175,74,0
186,74,0
186,75,0
185,75,0
205,75,0
291,75,0
291,76,0
185,76,0
249,77,0
250,77,0
251,77,0
293,77,0
292,77,0
293,78,0
250,78,0
249,78,0
114,78,0
85,78,0
85,79,0
93,79,0
80,79,0
114,79,0
94,80,0
403,80,0
433,80,0
270,83,0
343,84,0
95,84,0
378,84,0
433,85,0
403,85,0
95,85,0
94,85,0
1180,86,0
1137,86,0
752,86,0
1345,86,0
811,87,0
117,87,0
343,88,0
378,88,0
377,88,0
344,88,0
300,89,0
245,89,0
1136,89,0
1181,89,0
94,93,0
403,93,0
433,93,0
114,94,0
114,95,0
249,95,0
250,95,0
293,95,0
293,96,0
292,96,0
250,96,0
249,96,0
251,96,0
252,98,0
205,98,0
185,98,0
186,98,0
291,98,0
335,102,0
334,102,0
309,102,0
309,103,0
308,103,0
334,103,0
335,103,0
518,103,0
518,104,0
519,104,0
526,105,0
494,105,0
408,105,0
306,105,0
306,106,0
408,106,0
1439,107,0
1433,107,0
1434,107,0
1435,107,0
1676,107,0
1677,107,0
1345,113,0
1137,113,0
1180,113,0
752,113,0
403,114,0
433,114,0
344,115,0
377,115,0
378,115,0
342,115,0
343,115,0
377,116,0
344,116,0
795,117,0
539,126,0
1233,126,0
1205,126,0
675,127,0
717,127,0
718,127,0
674,127,0
674,128,0
718,128,0
675,128,0
1095,145,0
1058,145,0
718,155,0
674,155,0
1669,166,0
1666,166,0
1603,176,0
1602,176,0
209,176,0
200,182,0
204,184,0
438,184,0
439,184,0
472,184,0
1229,184,0
1209,184,0
1142,186,0
1175,186,0
1734,186,0
533,189,0
1620,189,0
1651,190,0
532,190,0
1663,196,0
1570,196,0
1200,196,0
1238,196,0
1260,196,0
1261,196,0
1287,196,0
1674,196,0
1675,196,0
225,200,0
532,200,0
488,204,0
396,204,0
1209,204,0
1229,204,0
1734,205,0
551,210,0
241,210,0
1336,210,0
236,214,0
237,214,0
452,214,0
1668,214,0
452,215,0
1178,218,0
1139,218,0
1594,218,0
1593,218,0
1593,219,0
1594,219,0
1139,219,0
1178,219,0
1595,220,0
1596,220,0
1596,222,0
779,223,0
1736,223,0
1737,223,0
1737,224,0
1736,224,0
779,225,0
287,227,0
1656,227,0
1709,227,0
1710,227,0
1736,228,0
1737,228,0
1737,229,0
1736,229,0
1604,231,0
1605,231,0
1606,231,0
1606,232,0
1607,232,0
1605,232,0
452,236,0
452,237,0
1667,237,0
1336,241,0
551,241,0
287,243,0
1656,243,0
1710,243,0
1709,243,0
300,245,0
1136,245,0
1181,245,0
402,250,0
402,251,0
374,253,0
373,253,0
347,253,0
289,253,0
1735,253,0
1735,254,0
290,254,0
373,254,0
286,257,0
280,262,0
281,262,0
305,263,0
280,263,0
1659,265,0
1452,268,0
1294,268,0
1253,268,0
302,270,0
304,271,0
305,271,0
1660,271,0
1660,272,0
1658,272,0
304,272,0
1470,274,0
303,274,0
1116,274,0
1125,274,0
1656,287,0
373,289,0
1735,289,0
1671,289,0
1735,290,0
373,290,0
347,290,0
402,292,0
434,292,0
402,293,0
1181,300,0
1136,300,0
385,302,0
1253,302,0
1294,302,0
1125,303,0
1116,303,0
1658,304,0
1660,304,0
1658,305,0
1267,307,0
1280,307,0
1231,310,0
1207,310,0
1172,310,0
1207,311,0
1231,311,0
351,315,0
367,315,0
367,316,0
352,316,0
366,316,0
351,316,0
460,317,0
324,317,0
325,317,0
325,318,0
323,318,0
324,318,0
319,318,0
418,318,0
418,319,0
324,319,0
334,321,0
547,321,0
1201,321,0
1237,321,0
1237,322,0
1201,322,0
1285,322,0
547,322,0
418,323,0
324,323,0
418,324,0
418,325,0
351,326,0
366,326,0
352,326,0
367,326,0
367,327,0
351,327,0
1207,332,0
1231,332,0
1231,333,0
1207,333,0
1172,333,0
1145,333,0
1280,337,0
1267,337,0
1254,338,0
1293,338,0
382,338,0
383,338,0
383,339,0
404,339,0
432,339,0
432,340,0
1289,346,0
1258,346,0
1258,347,0
1289,347,0
490,348,0
1204,349,0
460,352,0
423,352,0
417,352,0
417,353,0
427,353,0
446,353,0
455,353,0
455,354,0
446,354,0
465,354,0
417,354,0
1158,362,0
1187,362,0
1588,362,0
1166,365,0
1151,365,0
1475,365,0
1485,365,0
1487,365,0
417,366,0
423,366,0
460,366,0
1204,369,0
1234,369,0
470,370,0
1735,373,0
1671,373,0
1258,374,0
1289,374,0
1289,375,0
1258,375,0
404,381,0
432,381,0
432,382,0
404,382,0
1293,383,0
1254,383,0
1294,384,0
1253,384,0
1452,384,0
1487,386,0
1485,386,0
1475,386,0
1151,386,0
1166,386,0
1167,387,0
1150,387,0
1717,388,0
1718,388,0
1718,389,0
1717,389,0
1228,394,0
1210,394,0
1209,396,0
1229,396,0
472,396,0
488,396,0
435,399,0
435,400,0
443,400,0
1177,400,0
1140,400,0
430,401,0
467,401,0
444,401,0
1251,405,0
1296,405,0
1292,409,0
1255,409,0
1161,410,0
1156,410,0
1140,411,0
1177,411,0
444,411,0
435,411,0
443,411,0
1155,413,0
1162,413,0
469,415,0
468,415,0
491,415,0
491,416,0
468,416,0
469,416,0
465,417,0
1483,418,0
1483,419,0
1488,419,0
1227,419,0
1211,419,0
1024,419,0
1013,419,0
1210,420,0
1228,420,0
1245,421,0
1615,421,0
1193,421,0
465,423,0
461,424,0
455,427,0
465,427,0
1198,428,0
1240,428,0
444,430,0
434,430,0
1251,431,0
1296,431,0
467,434,0
1177,435,0
1140,435,0
472,439,0
488,439,0
1229,439,0
1209,439,0
1210,441,0
1228,441,0
1140,443,0
1177,443,0
1718,445,0
1255,447,0
1292,447,0
1161,449,0
1156,449,0
1667,452,0
1210,453,0
1228,453,0
1227,454,0
1211,454,0
1488,454,0
1483,454,0
1013,454,0
1024,454,0
491,456,0
469,456,0
468,456,0
468,457,0
469,457,0
491,457,0
1155,459,0
1162,459,0
491,468,0
491,469,0
490,469,0
490,470,0
1209,488,0
1229,488,0
1678,517,0
1678,518,0
1678,519,0
1716,522,0
1240,525,0
1241,525,0
1197,525,0
1198,525,0
534,533,0
1620,533,0
1233,536,0
1205,536,0
1205,539,0
1233,539,0
807,546,0
810,546,0
1285,547,0
1406,547,0
570,549,0
581,549,0
1668,554,0
1668,555,0
581,558,0
570,558,0
1667,563,0
1298,566,0
1298,574,0
1298,575,0
1186,583,0
1185,583,0
1132,583,0
1131,583,0
1132,584,0
1185,584,0
1186,585,0
1131,585,0
629,591,0
868,592,0
863,592,0
626,594,0
1222,594,0
1216,594,0
1190,608,0
1248,608,0
1558,609,0
1563,609,0
1189,609,0
635,609,0
1489,625,0
1222,626,0
1216,626,0
863,628,0
868,628,0
1189,635,0
1562,635,0
1552,635,0
1248,638,0
1190,638,0
667,640,0
666,641,0
1491,643,0
1492,643,0
673,655,0
1590,668,0
1215,668,0
1223,668,0
1223,669,0
1215,669,0
1590,669,0
718,674,0
718,675,0
1099,678,0
1099,679,0
1062,679,0
1062,681,0
722,682,0
1564,682,0
1567,682,0
1609,683,0
722,683,0
711,683,0
711,684,0
1609,684,0
727,685,0
709,685,0
1612,696,0
1219,696,0
709,702,0
727,702,0
708,702,0
1127,702,0
1129,708,0
1609,711,0
1567,712,0
1564,712,0
1609,722,0
1564,722,0
1651,726,0
1652,726,0
1129,727,0
1504,728,0
1498,728,0
1137,752,0
1180,752,0
1504,776,0
1498,776,0
1182,793,0
1135,793,0
1134,794,0
1183,794,0
1183,807,0
1134,807,0
1135,810,0
1182,810,0
850,821,0
851,821,0
839,821,0
1130,828,0
1297,828,0
1250,828,0
839,829,0
839,830,0
1247,858,0
1191,858,0
1191,865,0
1247,865,0
1189,868,0
1197,873,0
1241,873,0
1271,886,0
1276,886,0
1276,896,0
1271,896,0
1271,897,0
1276,897,0
973,955,0
1577,964,0
1577,965,0
1578,965,0
1578,966,0
1584,966,0
1580,968,0
1581,968,0
1582,968,0
1582,969,0
1583,969,0
1581,969,0
1583,970,0
1582,970,0
1585,970,0
1577,973,0
1583,975,0
1585,975,0
1579,977,0
1581,978,0
1580,978,0
1551,998,0
1654,1007,0
1306,1012,0
1227,1013,0
1211,1013,0
1488,1013,0
1483,1013,0
1024,1013,0
1226,1016,0
1212,1016,0
1483,1024,0
1488,1024,0
1227,1024,0
1211,1024,0
1212,1027,0
1226,1027,0
1216,1030,0
1222,1030,0
1086,1035,0
1086,1036,0
1087,1036,0
1611,1036,0
1086,1037,0
1084,1037,0
1085,1037,0
1085,1038,0
1084,1038,0
1083,1038,0
1083,1039,0
1084,1039,0
1082,1040,0
1081,1040,0
1081,1041,0
1080,1041,0
1082,1041,0
1080,1042,0
1081,1042,0
1079,1042,0
1079,1043,0
1575,1043,0
1078,1044,0
1077,1045,0
1076,1046,0
1073,1047,0
1074,1048,0
1075,1049,0
1072,1049,0
1072,1050,0
1075,1050,0
1070,1051,0
1071,1051,0
1071,1052,0
1070,1052,0
1069,1053,0
1067,1053,0
1068,1053,0
1068,1054,0
1069,1054,0
1465,1056,0
1426,1056,0
1094,1057,0
1362,1068,0
1362,1069,0
1575,1079,0
1425,1092,0
1465,1092,0
1361,1095,0
1470,1116,0
1628,1126,0
1629,1126,0
1343,1127,0
1219,1127,0
1129,1127,0
1629,1128,0
1628,1128,0
1219,1129,0
1250,1130,0
1297,1130,0
1348,1130,0
1345,1137,0
1593,1139,0
1594,1139,0
1600,1139,0
1607,1139,0
1174,1143,0
1173,1144,0
1232,1144,0
1206,1144,0
1206,1145,0
1232,1145,0
1173,1145,0
1172,1145,0
1171,1146,0
1170,1146,0
1170,1147,0
1171,1147,0
1169,1147,0
1406,1147,0
1262,1147,0
1285,1147,0
1674,1147,0
1675,1147,0
1170,1148,0
1166,1151,0
1475,1151,0
1485,1151,0
1487,1151,0
1235,1152,0
1203,1152,0
1165,1152,0
1164,1153,0
1280,1153,0
1267,1153,0
1486,1154,0
1163,1154,0
1486,1155,0
1617,1157,0
1616,1157,0
1588,1158,0
1474,1158,0
1187,1158,0
1616,1160,0
1617,1160,0
1486,1162,0
1486,1163,0
1267,1164,0
1280,1164,0
1203,1165,0
1235,1165,0
1487,1166,0
1485,1166,0
1475,1166,0
1262,1170,0
1285,1170,0
1406,1170,0
1675,1170,0
1674,1170,0
1232,1172,0
1206,1172,0
1206,1173,0
1232,1173,0
1593,1178,0
1607,1178,0
1600,1178,0
1594,1178,0
1345,1180,0
1588,1187,0
1474,1187,0
1562,1189,0
1563,1189,0
1558,1189,0
1615,1193,0
1335,1193,0
1239,1199,0
1662,1199,0
1665,1199,0
1674,1200,0
1675,1200,0
1663,1200,0
1570,1200,0
1363,1200,0
1406,1200,0
1238,1200,0
1488,1211,0
1483,1211,0
1720,1213,0
1722,1213,0
1590,1215,0
1360,1216,0
1353,1217,0
1355,1217,0
1343,1219,0
1612,1219,0
1613,1219,0
1355,1221,0
1353,1221,0
1360,1222,0
1590,1223,0
1722,1225,0
1720,1225,0
1483,1227,0
1488,1227,0
1570,1238,0
1663,1238,0
1406,1238,0
1363,1238,0
1675,1238,0
1674,1238,0
1665,1239,0
1662,1239,0
1615,1245,0
1335,1245,0
1511,1249,0
1516,1249,0
1348,1250,0
1452,1253,0
1570,1260,0
1363,1260,0
1286,1260,0
1287,1260,0
1261,1260,0
1287,1261,0
1286,1261,0
1262,1261,0
1363,1261,0
1432,1261,0
1675,1261,0
1675,1262,0
1674,1262,0
1406,1262,0
1285,1262,0
1278,1269,0
1537,1269,0
1534,1269,0
1535,1274,0
1536,1274,0
1537,1278,0
1534,1278,0
1286,1285,0
1406,1285,0
1674,1285,0
1675,1285,0
1675,1286,0
1287,1286,0
1438,1286,0
1438,1287,0
1432,1287,0
1570,1287,0
1363,1287,0
1452,1294,0
1348,1297,0
1337,1298,0
1407,1321,0
1408,1321,0
1440,1321,0
1440,1323,0
1615,1335,0
1613,1343,0
1663,1363,0
1570,1363,0
1674,1363,0
1663,1406,0
1674,1406,0
1675,1406,0
1440,1407,0
1440,1408,0
1436,1430,0
1437,1431,0
1438,1432,0
1435,1433,0
1434,1433,0
1439,1433,0
1677,1433,0
1676,1433,0
1676,1434,0
1677,1434,0
1439,1434,0
1435,1434,0
1439,1435,0
1677,1435,0
1676,1435,0
1676,1439,0
1677,1439,0
1591,1473,0
1588,1474,0
1487,1475,0
1485,1475,0
1482,1479,0
1492,1490,0
1491,1490,0
1529,1521,0
1532,1524,0
1543,1538,0
1618,1538,0
1619,1543,0
1557,1551,0
1563,1552,0
1562,1552,0
1562,1558,0
1563,1558,0
1663,1570,0
1675,1570,0
1628,1572,0
1629,1572,0
1629,1574,0
1628,1574,0
1587,1578,0
1587,1584,0
1719,1591,0
1716,1591,0
1607,1593,0
1606,1593,0
1606,1594,0
1607,1594,0
1601,1595,0
1606,1595,0
1605,1595,0
1604,1595,0
1604,1596,0
1605,1596,0
1601,1596,0
1602,1597,0
1603,1597,0
1604,1598,0
1604,1599,0
1605,1599,0
1606,1600,0
1607,1600,0
1617,1616,0
1654,1653,0
1665,1662,0
1674,1663,0
1668,1667,0
1735,1671,0
1675,1674,0
1719,1716,0
1737,1736,0
